Drogon.A1ModJulian,Drogon.EarthMJ2000Eq.X,Drogon.EarthMJ2000Eq.Y,Drogon.EarthMJ2000Eq.Z,Drogon.EarthMJ2000Eq.VX,Drogon.EarthMJ2000Eq.VY,Drogon.EarthMJ2000Eq.VZ
21545.24574269533,117.6682439325114,-4857.621151,-4846.757276,7.618024281410554,-0.001719182,0.1764269336469159
21545.24681889134,824.1370807488722,-4831.966528,-4804.552866,7.564106587307625,0.5530190656109584,0.7305282090435937
21545.24789520499,1521.923797498252,-4754.952615,-4711.135345,7.429806807182122,1.101825075835759,1.27678857689206
21545.24897159595,2203.585150205147,-4627.396028,-4567.499131,7.21655602393961,1.638879337445246,1.809399293126558
21545.25004801751,2861.846470397455,-4450.656373,-4375.179772,6.926624580719342,2.158482925977003,2.322692820741219
21545.25112441869,3489.682411968847,-4226.622676,-4136.238366,6.563100897228577,2.655118755493906,2.811203996071512
21545.25220076874,4080.407119723005,-3957.687331,-3853.233249,6.129851269574163,3.123520998022177,3.269738899412683
21545.25327703341,4627.731544493787,-3646.723601,-3529.195973,5.631486302160158,3.558719342920681,3.69341867033619
21545.25435319687,5125.841816042248,-3297.048011,-3167.591642,5.073303340507358,3.956100786375536,4.077740268996091
21545.25542924038,5569.44936844065,-2912.38968,-2772.286838,4.461240130320949,4.311449842154173,4.418615872377347
21545.25650516053,5953.854624841939,-2496.843693,-2347.501235,3.801802684204486,4.621000311003596,4.71242318477784
21545.25758095144,6274.988379542599,-2054.832928,-1897.768167,3.102006103657344,4.881469867496989,4.956038824002174
21545.25865664137,6529.463631034851,-1591.045168,-1427.870241,2.369275589252742,5.090103607504171,5.146879666326703
21545.25973223051,6714.592177762907,-1110.408741,-942.8142828,1.611407643289039,5.244689285115947,5.282917286744276
21545.26080776161,6828.427323866612,-618.0098789,-447.7473842,0.8364384705006468,5.343594032261589,5.362711585604018
21545.26188325921,6869.769999081983,-119.0656745,52.07058732017468,0.0525995908642122,5.385770982491406,5.38541639375035
21545.26295875157,6838.186035182989,381.1400697000198,551.3318496279777,-0.73178551,5.370774905945426,5.350792607475603
21545.26403427754,6734.008535412019,877.3153280619474,1044.73954277965,-1.508395818,5.298765485836339,5.259209126387552
21545.26510985313,6558.337333216371,1364.19979169495,1527.047950402617,-2.268978048,5.170507361304587,5.111641247881032
21545.26618551259,6313.024134863653,1836.638779162155,1993.136318978272,-3.00546461,4.987359050917506,4.909656567367516
21545.26726128561,6000.65443476658,2289.626421547536,2438.051871879581,-3.710042743,4.75125828470287,4.655398467935427
21545.26833718837,5624.525176109486,2718.354667413852,2857.058524698493,-4.375231927,4.464703800017435,4.351565827782036
21545.269413228,5188.612051907167,3118.266654501477,3245.689690617603,-4.993967071,4.130728971824124,4.001384368321232
21545.27048940584,4697.528323582026,3485.106882999404,3599.797654819368,-5.559675579,3.752868810322447,3.608571477417477
21545.27156572271,4156.474574629589,3814.968463210361,3915.599770291074,-6.066348797,3.335120083717752,3.177294255237235
21545.27264215481,3571.19733841072,4104.328312155088,4189.71281197315,-6.508594019,2.881908639888509,2.712135232026264
21545.27371868452,2947.914361312323,4350.095608931141,4419.199697611493,-6.881706164,2.398031453269301,2.21803224204523
21545.2747952761,2293.262149277751,4549.639488632887,4601.595997441843,-7.181707146,1.888616451380799,1.700236898879917
21545.27587189944,1614.212091462904,4700.823874846939,4734.942730139334,-7.405395963,1.359058578418534,1.164248976507845
21545.27694849442,918.0182769349448,4802.02663310548,4817.804275461253,-7.550375294,0.8149810859913311,0.6157766327392618
21545.27802500594,212.1178731530637,4852.164962126115,4849.291242818366,-7.615087698,0.2621603028567332,0.06065980104781148
21545.27910139918,-495.9603027,4850.705702770123,4829.068425966781,-7.598829307,-0.293543116,-0.495199356
21545.28017761227,-1198.646481,4797.669859423995,4757.35800854407,-7.501756356,-0.846220967,-1.045873803
21545.28125361278,-1888.448981,4693.632199951642,4634.93599713906,-7.324883796,-1.39000813,-1.585502695
21545.28232933292,-2557.993918,4539.719105756266,4463.128969529554,-7.070083778,-1.919111367,-2.108320527
21545.2834047471,-3200.154666,4337.588332639652,4243.790303090028,-6.740054836,-2.427909562,-2.608757022
21545.2844798187,-3808.094804,4089.415294390984,3979.285192361306,-6.338303589,-2.910986724,-3.08147001
21545.2855545464,-4375.367572,3797.858644057473,3672.45341757928,-5.869093035,-3.363210708,-3.521423174
21545.28662890877,-4895.952903,3466.043130277613,3326.591030379763,-5.337419041,-3.77976347,-3.923915996
21545.28770289528,-5364.339538,3097.518810380406,2945.407155026923,-4.748948266,-4.156208153,-4.284649508
