Viserion.A1ModJulian,Viserion.EarthMJ2000Eq.X,Viserion.EarthMJ2000Eq.Y,Viserion.EarthMJ2000Eq.Z,Viserion.EarthMJ2000Eq.VX,Viserion.EarthMJ2000Eq.VY,Viserion.EarthMJ2000Eq.VZ
21545.58612155631,-4402.436635,-4922.801375,-1894.312718,1.755737126924647,-3.980442179,6.251528942982635
21545.58719709501,-4216.207585,-5265.910835,-1304.329688,2.248818987902669,-3.397534169,6.435037943624472
21545.588272563,-3985.24095,-5553.106609,-700.5029381,2.718064950571836,-2.778523381,6.550064754196416
21545.58934790979,-3712.006005,-5781.336486,-89.28907344,3.158445550333789,-2.130048573,6.595377007683309
21545.59042319178,-3399.397147,-5948.203426,522.8382209664734,3.565287075846822,-1.459004813,6.570504460569086
21545.59149844916,-3050.725591,-6051.952301,1129.388465184323,3.934267102001153,-0.772535158,6.475724742098682
21545.59257374965,-2669.671209,-6091.492899,1723.946558495848,4.261476731431712,-0.077925104,6.312056854711606
21545.59364915757,-2260.25247,-6066.404213,2300.22113139584,4.543449164793921,0.6174573210786226,6.081247522679956
21545.59472471449,-1826.793514,-5976.941479,2852.099644158915,4.777192324100846,1.306228169298473,5.785757239974161
21545.59580046361,-1373.87128,-5824.035598,3373.725610990373,4.960227618967278,1.981082467433708,5.428729077746755
21545.59687637206,-906.3019145,-5609.300141,3859.525340286921,5.090606052152927,2.63482525679457,5.013983388062851
21545.59795229253,-429.1109486,-5335.04572,4304.265261580163,5.166943292517932,3.260435236403428,4.546010078664803
21545.59902816943,52.6124580382473,-5004.214856,4703.205348602834,5.188459417531568,3.851269277155067,4.029837087713218
21545.60010400051,533.7577870244461,-4620.338018,5052.120589904108,5.154962391701437,4.401101032897272,3.470970062319367
21545.60117975229,1009.21054196243,-4187.517265,5347.311544752311,5.066841283944707,4.904135801536782,2.875368318098535
21545.60225540791,1473.927960665991,-3710.365995,5585.659611230386,4.925058502499319,5.355093182590324,2.249356476168187
21545.60333094119,1922.980850905743,-3193.968346,5764.650871769894,4.731137484829267,5.749245011635663,1.599570866133451
21545.60440631611,2351.605954709139,-2643.82641,5882.404009729949,4.487146650654402,6.082462434808203,0.9328919501264979
21545.60548151467,2755.267224679593,-2065.787346,5937.692608825328,4.19567044526138,6.351263825056874,0.2563570179672252
21545.6065565181,3129.694920570426,-1465.989674,5929.952698300817,3.859784564693622,6.55283931228762,-0.422899314
21545.60763130654,3470.930063150505,-850.7990194,5859.288327051468,3.483025418121735,6.685077901618317,-1.09771546
21545.60870585311,3775.364394333404,-226.7448494,5726.471423683332,3.069358123001693,6.746588910503371,-1.760970102
21545.609780143,4039.783964208669,399.5591946757542,5532.931714132305,2.623130978759109,6.736718906006689,-2.405665071
21545.61085418108,4261.402273369676,1021.489232702855,5280.736610541415,2.149028284943798,6.655556204390812,-3.024999089
21545.61192794485,4437.879079106446,1632.453218658301,4972.579610548996,1.652045149101735,6.50393558377707,-3.612409479
21545.61300143309,4567.356197724239,2225.988414687845,4611.742170318142,1.137417577974345,6.283431917811472,-4.161669089
21545.61407466231,4648.47306374937,2795.82622154986,4202.056164311155,0.6105701863763618,5.996343575998386,-4.666947864
21545.61514763613,4680.377700652292,3335.941218373045,3747.874237415336,0.07707571507072442,5.645679744307145,-5.122860725
21545.61622038263,4662.738151899164,3840.633837414898,3254.009607731873,-0.457421026,5.235122819296782,-5.524544393
21545.61729291899,4595.744415864445,4304.5722613888,2725.699754407914,-0.987245584,4.769004029601253,-5.867697168
21545.61836526687,4480.107930928045,4722.857143647188,2168.545330282496,-1.506762945,4.252256364426889,-6.148636656
21545.61943746523,4317.051699565625,5091.07748109125,1588.443557911433,-2.010445664,3.69035630324345,-6.364345639
21545.62050954421,4108.299982343523,5405.346898952091,991.5391471913213,-2.492922931,3.089277903765104,-6.512501455
21545.62158154879,3856.056468190843,5662.352644819322,384.146552193618,-2.949052006,2.455415587339815,-6.591509015
21545.62265350846,3562.987257926738,5859.382406879015,-227.3001699,-3.373963274,1.795530568347477,-6.600517101
21545.62372546933,3232.185202170132,5994.360770737863,-836.3337202,-3.76312912,1.116656315772721,-6.53943143
21545.62479747455,2867.141220009004,6065.865653143353,-1436.511132,-4.112406273,0.4260305186698446,-6.408913437
21545.62586955666,2471.710738674342,6073.144034532119,-2021.477826,-4.418080213,-0.26898124,-6.210374339
21545.62694174673,2050.07028861451,6016.121752955371,-2585.040546,-4.676909777,-0.96097432,-5.945957793
21545.62801408214,1606.669726454814,5895.40274006354,-3121.236874,-4.88616288,-1.642592838,-5.618510455
21545.62908659353,1146.190010512145,5712.262308748618,-3624.391087,-5.043640655,-2.306602237,-5.231549703
21545.63015929713,673.4975380726504,5468.636396530333,-4089.171273,-5.147698836,-2.945963377,-4.789225848
21545.63123222233,193.5808607542507,5167.095335638985,-4510.657806,-5.197265435,-3.55392404,-4.296262707
21545.63230538081,-288.4882915,4810.823111562115,-4884.381365,-5.191845113,-4.12407054,-3.75791571
21545.63337877709,-767.6127609,4403.582972406986,-5206.375683,-5.131523213,-4.650400166,-3.179910146
21545.63445240245,-1238.720912,3949.681169525043,-5473.218585,-5.016962782,-5.127378986,-2.568382668
21545.63552627329,-1696.836534,3453.90505668224,-5682.076863,-4.849389725,-5.550012261,-1.929793699
21545.63660037988,-2137.108215,2921.494074391557,-5830.722424,-4.630582179,-5.913868583,-1.270889015
21545.63767470978,-2554.870676,2358.076522339674,-5917.563318,-4.362849525,-6.215133669,-0.598618559
21545.63874923965,-2945.690793,1769.615405746735,-5941.660775,-4.049010403,-6.450644759,0.07992818733729033
21545.63982395988,-3305.423305,1162.332861505214,-5902.740429,-3.692357048,-6.617926468,0.7576082105382422
21545.64089885255,-3630.245832,542.656946016134,-5801.194037,-3.29662828,-6.71520868,1.427281602733238
21545.64197390181,-3916.702946,-82.85095124,-5638.076383,-2.865970231,-6.74144695,2.081888471583474
21545.64304907696,-4161.738909,-707.554883,-5415.098388,-2.404903497,-6.696335062,2.714509140831634
21545.64412436482,-4362.73883,-1324.832841,-5134.604859,-1.918266287,-6.580311228,3.318453536247957
21545.64519974337,-4517.550312,-1928.131318,-4799.55522,-1.411177958,-6.394557159,3.887314084765984
21545.64627522026,-4624.512172,-2511.055874,-4413.481048,-0.888970325,-6.140983197,4.415052742942308
21545.64735075903,-4682.464301,-3067.398566,-3980.47475,-0.357169401,-5.822228772,4.896028501044348
21545.6484263521,-4690.770346,-3591.244817,-3505.123026,0.1785962295694556,-5.441625333,5.325097217805316
21545.64950198856,-4649.321319,-4077.019226,-2992.469238,0.7126393192437055,-5.00317181,5.697653279647152
21545.65057767738,-4558.536457,-4519.555812,-2447.948991,1.239286304980789,-4.511486122,6.009690496623195
21545.6516532822,-4419.380606,-4914.093374,-1877.419531,1.752860695722935,-3.971840858,6.257811301401942
21545.65272881891,-4233.328715,-5256.450435,-1286.944697,2.247893198773301,-3.389970249,6.439354362628792
21545.65380428822,-4002.3567,-5542.995024,-682.8093267,2.719100221191352,-2.772076407,6.552369069344961
21545.65487963464,-3728.934983,-5770.68051,-71.47609839,3.16142905336584,-2.124789138,6.59564426539948
21545.65595490449,-3415.963373,-5937.114715,540.574312185841,3.570181862860783,-1.454997539,6.568732616960755
21545.65703016673,-3066.748387,-6040.551199,1146.868616451345,3.941026731014971,-0.76981335,6.471932574642818
21545.65810546651,-2684.982442,-6079.899999,1740.981671401821,4.270026834184373,-0.076522468,6.306285814205407
21545.65918087476,-2274.689398,-6054.742909,2316.630597245441,4.553698933823826,0.6175254698340891,6.073559722052262
21545.66025643913,-1840.20005,-5965.335136,2867.712480903239,4.789034208175273,1.304964782460877,5.776233277902544
21545.66133219799,-1386.103883,-5812.606675,3388.376447698851,4.973535693879367,1.978501700595724,5.417469625863626
21545.66240813917,-917.220327,-5598.164196,3873.067741357556,5.105240599601289,2.630967763880014,5.001098726380034
21545.66348406644,-438.6104213,-5324.325181,4316.542870488345,5.182744710101103,3.255326147962242,4.531646968766669
21545.6645599515,44.63325085893618,-4994.022799,4714.087959370633,5.205259605212828,3.844964032529669,4.014147719312611
21545.66563578959,527.38286829635,-4610.7826,5061.491896956299,5.172582665350233,4.393666524247343,3.454121490398139
21545.66671154774,1004.507050889909,-4178.699745,5355.071614189254,5.085094374188515,4.895651326970827,2.857539316751037
21545.66778720789,1470.94473705329,-3702.380343,5591.725461982194,4.943750655271257,5.345648718770073,2.230736540610646
21545.66886274051,1921.747110753341,-3186.901461,5768.957316415371,4.750071116837651,5.738939694205045,1.580359636850979
21545.66993811227,2352.133591533744,-2637.754419,5884.905580023365,4.506121508621398,6.071405873281357,0.9132935640338723
21545.67101331924,2757.554712561227,-2060.768182,5938.363621957676,4.214481840350934,6.339576773468064,0.2365705950214845
21545.67208832089,3133.713772760227,-1462.08162,5928.785579721392,3.878235119479453,6.540643258886849,-0.442659142
21545.67316310798,3476.637458606432,-848.0429284,5856.295644317971,3.500918674382284,6.672502193792196,-1.117240957
21545.67423764361,3782.696806254738,-225.1751484,5721.686468715403,3.086507346909283,6.733766193284374,-1.780049724
21545.67531192795,4048.665053837395,399.929277733468,5526.405162665746,2.639351656069535,6.723785363851924,-2.424100995
21545.6763859451,4271.734760803191,1020.64723328427,5272.542040531482,2.164154634617708,6.642650127531303,-3.042587923
21545.6774596987,4449.555958499623,1630.414652916305,4962.802424900758,1.665911629147518,6.491193316656129,-3.628971603
21545.67853317007,4580.253100573298,2222.771589323635,4600.489150008253,1.149879963827057,6.270990091858012,-4.177025714
21545.67960637677,4662.453700623351,2791.462921020224,4189.450135615226,0.6214989365254202,5.984336665958713,-4.680933895
21545.68067932971,4695.29518249947,3330.47946473563,3734.04976196941,0.08635413395518624,5.634236211414249,-5.135329044
21545.68175205445,4678.43562326028,3834.132125318559,3239.11504833208,-0.449890822,5.224366141599645,-5.535362747
21545.68282457084,4612.0567360983,4297.101441414879,2709.893450246521,-0.981544145,4.759049605312898,-5.87675175
21545.68389690577,4496.862613656341,4714.500196734084,2151.992243441596,-1.502953792,4.243208487861048,-6.155833444
21545.68496909247,4334.071731188013,5081.924140005511,1571.31915459753,-2.00856924,3.682312164017056,-6.369608363
21545.68604115805,4125.406137044061,5395.494475500941,974.0265565979424,-2.492997675,3.082325946273857,-6.515774211
21545.68711315114,3873.067982199897,5651.907085589733,366.4308916702871,-2.951077333,2.449630810370497,-6.59275799
21545.6881851122,3579.7210233427,5848.457521223795,-245.0380242,-3.377922018,1.790968646203249,-6.599729878
21545.6892570669,3248.46640515842,5983.071438242636,-853.9011351,-3.768975404,1.113372285630667,-6.536617116
