Rhaegal.A1ModJulian,Rhaegal.EarthMJ2000Eq.X,Rhaegal.EarthMJ2000Eq.Y,Rhaegal.EarthMJ2000Eq.Z,Rhaegal.EarthMJ2000Eq.VX,Rhaegal.EarthMJ2000Eq.VY,Rhaegal.EarthMJ2000Eq.VZ
21545.25523539616,300.7734385260395,6579.399619493158,-1950.820668,-6.831463551,1.2473015773228,3.131506802558875
21545.25631110575,-334.6247344,6660.175837080511,-1649.901105,-6.829526169,0.4893875956643806,3.338211478816786
21545.25738685912,-966.494207,6670.207715287918,-1331.39427,-6.755044544,-0.273704525,3.509352388625836
21545.25846255482,-1588.064643,6609.393360743823,-998.7238867,-6.608825829,-1.033808415,3.643098171680517
21545.25953816223,-2192.720437,6478.398019158262,-655.4454891,-6.392446547,-1.782840667,3.738033577006926
21545.26061363253,-2774.020953,6278.642888107313,-305.2328519,-6.108238734,-2.512826932,3.793159632291603
21545.26168898323,-3325.814932,6012.271333915925,48.18963974056877,-5.759239953,-3.216045151,3.80790745537212
21545.26276425294,-3842.275545,5682.120395536535,401.0728249159668,-5.34915919,-3.885072148,3.782133668473859
21545.26383948739,-4317.950938,5291.69026821689,749.6770322647093,-4.882338399,-4.512849237,3.716118768561441
21545.26491475936,-4747.825929,4845.097466879149,1090.316468550099,-4.36369553,-5.092763365,3.610560300967235
21545.26599012188,-5127.351203,4347.049135658169,1419.381300343504,-3.798693662,-5.61868592,3.466567715263811
21545.26706563864,-5452.502298,3802.784386691906,1733.383886638509,-3.193272106,-6.085051738,3.285648822874898
21545.26814134683,-5719.809561,3218.04044212123,2028.983466832443,-2.553807092,-6.486899405,3.06970071628836
21545.26921719322,-5926.39072,2599.037161723937,2303.007156493244,-1.887091299,-6.819911995,2.821010384708417
21545.27029303252,-6070.007686,1952.425499865707,2552.493117258632,-1.200273185,-7.080491765,2.542244114712855
21545.27136884576,-6149.128705,1285.085510635474,2774.77748141599,-0.500640622,-7.265861452,2.236364777011597
21545.27244460642,-6162.909952,604.1238625319035,2967.485815589804,0.2043783528069178,-7.374041362,1.90662576413246
21545.27352030635,-6111.204715,-83.21854766,3128.563134547803,0.9073109484859646,-7.403872052,1.556528379573957
21545.27459591019,-5994.565635,-769.6152217,3256.288429651119,1.600688629473632,-7.355023047,1.189799038491843
21545.27567141064,-5814.235982,-1447.767458,3349.301247533014,2.277161349531634,-7.22799739,0.8103320719173567
21545.27674677961,-5572.140541,-2110.451323,3406.609937666974,2.929543062651097,-7.024127295,0.4221651127927835
21545.27782199249,-5270.863544,-2750.610595,3427.605813576008,3.550903070758324,-6.745560856,0.02942866709358069
